variante,algoritmo,primerDia,dias,presupuestoMs,semilla,incidencias,planVigente,estado,minutoFinal,registrados,entregados,pendientes,incumplidos,paquetes,kilometros,costo,minutoPrimerIncumplimiento,tiempoMs,planificaciones,planesVerificados,sobregiros,maximoPlanMs,averias,mantenimientos
sin,ALNS,2026-09-01,1,200,20260924,false,false,CULMINADA,1440,187,161,26,0,830,3892,24565.00,-1,13124,88,88,0,150,0,0
sin,HGS,2026-09-01,1,200,20260924,false,false,CULMINADA,1440,187,160,27,0,799,3553,23857.00,-1,13139,88,88,0,150,0,0
