id,escenario,nivel,fraccion,variante,algoritmo,arranque,replica,semilla,presupuesto_ms,commit,estado,minuto_final,pedidos_base,pedidos_instancia,pedidos_registrados,pedidos_entregados,pedidos_incumplidos,pedidos_pendientes,pct_cumplimiento,minuto_primer_incumplido,paquetes_entregados,costo_total,km_total,costo_por_pedido,llamadas,llamadas_fuera_presupuesto,ms_mediana,ms_p90,ms_max,v1_invalidas,v2_incoherentes,saturacion_almacenes_pct,tiempo_pared_s,validez,pct_llamadas_en_presupuesto,minuto_primer_incumplido_c,censurado,sin_incumplidos
5D_N1_HGS_r01,5D,N1,0.25,HGS,HGS,constructivo,1,20260901,2000,539370b,CULMINADA,7200,1963,499,499,497,0,2,100.0,-1,2129,54084.0,9252,108.821,266,0,1950.074,1950.246,1950.98,0,0,15.5,507.775,True,100.0,7200,True,True
5D_N1_HGS_r02,5D,N1,0.25,HGS,HGS,constructivo,2,20260902,2000,539370b,CULMINADA,7200,1963,511,511,508,0,3,100.0,-1,2057,52095.0,9171,102.549,266,0,1950.062,1950.197,1950.753,0,0,22.3,499.883,True,100.0,7200,True,True
5D_N1_HGS_r03,5D,N1,0.25,HGS,HGS,constructivo,3,20260903,2000,539370b,CULMINADA,7200,1963,490,490,487,0,3,100.0,-1,1905,50211.0,8589,103.103,266,0,1950.09,1950.288,1953.82,0,0,15.1,474.599,True,100.0,7200,True,True
5D_N1_HGS_r04,5D,N1,0.25,HGS,HGS,constructivo,4,20260904,2000,539370b,CULMINADA,7200,1963,486,486,484,0,2,100.0,-1,1903,49384.0,8494,102.033,266,0,1950.065,1950.246,1951.031,0,0,16.4,499.98,True,100.0,7200,True,True
5D_N1_HGS_r05,5D,N1,0.25,HGS,HGS,constructivo,5,20260905,2000,539370b,CULMINADA,7200,1963,537,537,534,1,2,99.813,897,2342,57133.0,9489,106.991,266,0,1950.081,1950.264,1953.256,0,0,19.2,505.836,True,100.0,897,False,False
5D_N1_HGS_r06,5D,N1,0.25,HGS,HGS,constructivo,6,20260906,2000,539370b,CULMINADA,7200,1963,483,483,477,1,5,99.791,6921,1849,48625.0,8594,101.939,266,0,1950.075,1950.217,1951.144,0,0,14.1,503.87,True,100.0,6921,False,False
5D_N1_HGS_r07,5D,N1,0.25,HGS,HGS,constructivo,7,20260907,2000,539370b,CULMINADA,7200,1963,472,472,468,0,4,100.0,-1,1806,50036.0,8657,106.915,266,0,1950.056,1950.227,1952.001,0,0,13.5,488.254,True,100.0,7200,True,True
5D_N1_HGS_r08,5D,N1,0.25,HGS,HGS,constructivo,8,20260908,2000,539370b,CULMINADA,7200,1963,502,502,496,2,4,99.598,4250,2122,48422.0,8480,97.625,266,0,1950.077,1950.244,1954.188,0,0,17.0,488.283,True,100.0,4250,False,False
5D_N1_HGS_r09,5D,N1,0.25,HGS,HGS,constructivo,9,20260909,2000,539370b,CULMINADA,7200,1963,517,517,515,0,2,100.0,-1,1992,55791.0,9307,108.332,266,0,1950.075,1950.295,1951.66,0,0,14.2,494.07,True,100.0,7200,True,True
5D_N1_HGS_r10,5D,N1,0.25,HGS,HGS,constructivo,10,20260910,2000,539370b,CULMINADA,7200,1963,480,480,477,0,3,100.0,-1,1940,53961.0,9077,113.126,266,0,1950.095,1950.294,1954.683,0,0,16.6,480.496,True,100.0,7200,True,True
