id,escenario,nivel,fraccion,variante,algoritmo,arranque,replica,semilla,presupuesto_ms,commit,estado,minuto_final,pedidos_base,pedidos_instancia,pedidos_registrados,pedidos_entregados,pedidos_incumplidos,pedidos_pendientes,pct_cumplimiento,minuto_primer_incumplido,paquetes_entregados,costo_total,km_total,costo_por_pedido,llamadas,llamadas_fuera_presupuesto,ms_mediana,ms_p90,ms_max,v1_invalidas,v2_incoherentes,saturacion_almacenes_pct,tiempo_pared_s,validez,pct_llamadas_en_presupuesto,minuto_primer_incumplido_c,censurado,sin_incumplidos
5D_N3_HGS_r09,5D,N3,0.75,HGS,HGS,constructivo,9,20260909,2000,539370b,CULMINADA,7200,1963,1485,1485,1446,5,34,99.655,911,5646,132007.0,21951,91.291,266,0,1950.154,1950.492,1951.902,0,0,41.8,508.411,True,100.0,911,False,False
5D_N3_HGS_r10,5D,N3,0.75,HGS,HGS,constructivo,10,20260910,2000,539370b,CULMINADA,7200,1963,1491,1491,1449,5,37,99.656,1076,5928,135207.0,22103,93.311,266,0,1950.178,1950.588,1953.007,0,0,43.7,504.522,True,100.0,1076,False,False
COLAPSO_N4_ALNS-C_r01,COLAPSO,N4,rampa,ALNS-C,ALNS,calido,1,20260901,2000,539370b,COLAPSADA,897,11315,10724,137,83,1,53,98.81,897,311,7328.0,1288,88.289,31,0,1950.383,1950.787,1954.191,0,0,2.2,50.845,True,100.0,897,False,False
COLAPSO_N4_ALNS-C_r02,COLAPSO,N4,rampa,ALNS-C,ALNS,calido,2,20260902,2000,539370b,COLAPSADA,4250,11315,10758,733,684,1,48,99.854,4250,2535,55765.0,9686,81.528,152,0,1950.218,1950.801,1954.227,0,0,28.1,287.389,True,100.0,4250,False,False
COLAPSO_N4_ALNS-C_r03,COLAPSO,N4,rampa,ALNS-C,ALNS,calido,3,20260903,2000,539370b,COLAPSADA,5506,11315,10721,1052,925,1,126,99.892,5506,3491,76812.0,13360,83.04,202,0,1950.167,1950.342,1951.819,0,0,36.2,385.009,True,100.0,5506,False,False
COLAPSO_N4_ALNS-C_r04,COLAPSO,N4,rampa,ALNS-C,ALNS,calido,4,20260904,2000,45890e5,COLAPSADA,4250,11315,10716,698,650,1,47,99.846,4250,2344,53200.0,9371,81.846,152,0,1950.198,1950.887,1955.584,0,0,24.7,283.469,True,100.0,4250,False,False
COLAPSO_N4_ALNS-C_r05,COLAPSO,N4,rampa,ALNS-C,ALNS,calido,5,20260905,2000,539370b,COLAPSADA,992,11315,10719,170,102,1,67,99.029,992,443,9241.0,1570,90.598,35,0,1950.404,1950.803,1951.793,0,0,6.4,58.705,True,100.0,992,False,False
COLAPSO_N4_ALNS-C_r06,COLAPSO,N4,rampa,ALNS-C,ALNS,calido,6,20260906,2000,539370b,COLAPSADA,1051,11315,10731,169,98,1,70,98.99,1051,417,8718.0,1545,88.959,37,0,1950.409,1950.927,1952.142,0,0,12.1,62.596,True,100.0,1051,False,False
COLAPSO_N4_ALNS-C_r07,COLAPSO,N4,rampa,ALNS-C,ALNS,calido,7,20260907,2000,539370b,COLAPSADA,897,11315,10730,137,86,1,50,98.851,897,335,7366.0,1274,85.651,31,0,1950.401,1951.762,1952.089,0,0,2.7,45.012,True,100.0,897,False,False
COLAPSO_N4_ALNS-C_r08,COLAPSO,N4,rampa,ALNS-C,ALNS,calido,8,20260908,2000,539370b,COLAPSADA,4250,11315,10686,684,643,1,40,99.845,4250,2473,53183.0,9162,82.711,152,0,1950.19,1950.942,1954.697,0,0,30.1,279.577,True,100.0,4250,False,False
COLAPSO_N4_ALNS-C_r09,COLAPSO,N4,rampa,ALNS-C,ALNS,calido,9,20260909,2000,539370b,COLAPSADA,5181,11315,10722,936,822,1,113,99.878,5181,3079,68935.0,11982,83.863,189,0,1950.158,1950.366,1953.129,0,0,33.9,349.812,True,100.0,5181,False,False
COLAPSO_N4_ALNS-C_r10,COLAPSO,N4,rampa,ALNS-C,ALNS,calido,10,20260910,2000,539370b,COLAPSADA,4250,11315,10725,698,654,1,43,99.847,4250,2529,54943.0,9539,84.011,152,0,1950.187,1950.547,1951.672,0,0,27.7,281.422,True,100.0,4250,False,False
COLAPSO_N4_ALNS-F_r01,COLAPSO,N4,rampa,ALNS-F,ALNS,constructivo,1,20260901,2000,539370b,COLAPSADA,4250,11315,10724,701,651,1,49,99.847,4250,2430,55375.0,9700,85.061,152,0,1950.189,1950.547,1952.144,0,0,26.4,287.313,True,100.0,4250,False,False
COLAPSO_N4_ALNS-F_r02,COLAPSO,N4,rampa,ALNS-F,ALNS,constructivo,2,20260902,2000,539370b,COLAPSADA,840,11315,10758,128,94,1,33,98.947,840,318,7169.0,1291,76.266,30,0,1950.394,1950.894,1951.627,0,0,2.8,48.89,True,100.0,840,False,False
COLAPSO_N4_ALNS-F_r03,COLAPSO,N4,rampa,ALNS-F,ALNS,constructivo,3,20260903,2000,539370b,COLAPSADA,840,11315,10721,132,87,1,44,98.864,840,317,6790.0,1261,78.046,30,0,1950.467,1951.392,1953.31,0,0,1.1,48.968,True,100.0,840,False,False
COLAPSO_N4_ALNS-F_r04,COLAPSO,N4,rampa,ALNS-F,ALNS,constructivo,4,20260904,2000,45890e5,COLAPSADA,4250,11315,10716,698,650,1,47,99.846,4250,2395,54260.0,9449,83.477,152,0,1950.179,1950.579,1954.665,0,0,23.8,283.49,True,100.0,4250,False,False
COLAPSO_N4_ALNS-F_r05,COLAPSO,N4,rampa,ALNS-F,ALNS,constructivo,5,20260905,2000,539370b,COLAPSADA,1185,11315,10719,212,140,1,71,99.291,1185,629,13197.0,2288,94.264,41,0,1950.382,1950.901,1951.422,0,0,19.4,70.424,True,100.0,1185,False,False
COLAPSO_N4_ALNS-F_r06,COLAPSO,N4,rampa,ALNS-F,ALNS,constructivo,6,20260906,2000,539370b,COLAPSADA,3655,11315,10731,552,489,1,62,99.796,3655,1931,44269.0,7818,90.53,130,0,1950.154,1950.461,1955.595,0,0,27.7,244.23,True,100.0,3655,False,False
COLAPSO_N4_ALNS-F_r07,COLAPSO,N4,rampa,ALNS-F,ALNS,constructivo,7,20260907,2000,539370b,COLAPSADA,840,11315,10730,120,84,1,35,98.824,840,324,7189.0,1218,85.583,30,0,1950.337,1950.517,1950.834,0,0,1.8,43.017,True,100.0,840,False,False
COLAPSO_N4_ALNS-F_r08,COLAPSO,N4,rampa,ALNS-F,ALNS,constructivo,8,20260908,2000,539370b,COLAPSADA,4250,11315,10686,684,637,1,46,99.843,4250,2420,50996.0,8860,80.057,152,0,1950.189,1950.602,1954.503,0,0,26.4,279.573,True,100.0,4250,False,False
COLAPSO_N4_ALNS-F_r09,COLAPSO,N4,rampa,ALNS-F,ALNS,constructivo,9,20260909,2000,539370b,COLAPSADA,5187,11315,10722,940,824,1,115,99.879,5187,3069,69808.0,12364,84.718,190,0,1950.166,1950.505,1952.644,0,0,32.0,351.883,True,100.0,5187,False,False
COLAPSO_N4_ALNS-F_r10,COLAPSO,N4,rampa,ALNS-F,ALNS,constructivo,10,20260910,2000,539370b,COLAPSADA,4250,11315,10725,698,652,1,45,99.847,4250,2520,55412.0,9564,84.988,152,0,1950.191,1950.618,1954.856,0,0,26.5,281.453,True,100.0,4250,False,False
COLAPSO_N4_HGS_r01,COLAPSO,N4,rampa,HGS,HGS,constructivo,1,20260901,2000,539370b,COLAPSADA,10570,11315,10724,2095,2047,1,47,99.951,10570,8289,198088.0,32642,96.77,391,0,1950.14,1950.478,1952.443,0,0,44.9,754.658,True,100.0,10570,False,False
COLAPSO_N4_HGS_r02,COLAPSO,N4,rampa,HGS,HGS,constructivo,2,20260902,2000,539370b,COLAPSADA,4250,11315,10758,733,669,1,63,99.851,4250,2478,59333.0,10024,88.689,152,0,1950.119,1950.345,1950.915,0,0,28.5,287.263,True,100.0,4250,False,False
COLAPSO_N4_HGS_r03,COLAPSO,N4,rampa,HGS,HGS,constructivo,3,20260903,2000,539370b,COLAPSADA,3707,11315,10721,564,501,1,62,99.801,3707,1903,45322.0,7734,90.463,132,0,1950.126,1950.387,1950.932,0,0,23.4,248.22,True,100.0,3707,False,False
COLAPSO_N4_HGS_r04,COLAPSO,N4,rampa,HGS,HGS,constructivo,4,20260904,2000,539370b,COLAPSADA,4136,11315,10716,689,603,1,85,99.834,4136,2187,55366.0,9383,91.818,147,0,1950.148,1950.562,1956.325,0,0,23.2,273.682,True,100.0,4136,False,False
COLAPSO_N4_HGS_r05,COLAPSO,N4,rampa,HGS,HGS,constructivo,5,20260905,2000,539370b,COLAPSADA,1201,11315,10719,215,151,1,63,99.342,1201,699,15789.0,2563,104.563,42,0,1950.155,1950.425,1950.947,0,0,20.6,72.373,True,100.0,1201,False,False
COLAPSO_N4_HGS_r06,COLAPSO,N4,rampa,HGS,HGS,constructivo,6,20260906,2000,539370b,COLAPSADA,3655,11315,10731,552,486,1,65,99.795,3655,1888,44868.0,7535,92.321,130,0,1950.141,1950.383,1951.091,0,0,25.0,244.302,True,100.0,3655,False,False
COLAPSO_N4_HGS_r07,COLAPSO,N4,rampa,HGS,HGS,constructivo,7,20260907,2000,539370b,COLAPSADA,840,11315,10730,120,84,1,35,98.824,840,331,7939.0,1321,94.512,30,0,1950.104,1950.335,1951.062,0,0,2.8,43.047,True,100.0,840,False,False
COLAPSO_N4_HGS_r08,COLAPSO,N4,rampa,HGS,HGS,constructivo,8,20260908,2000,539370b,COLAPSADA,3655,11315,10686,527,463,1,63,99.784,3655,1914,44475.0,7365,96.058,130,0,1950.102,1950.331,1951.242,0,0,30.7,236.447,True,100.0,3655,False,False
COLAPSO_N4_HGS_r09,COLAPSO,N4,rampa,HGS,HGS,constructivo,9,20260909,2000,539370b,COLAPSADA,840,11315,10722,121,83,1,37,98.81,840,268,7930.0,1345,95.542,30,0,1950.109,1950.334,1951.67,0,0,2.7,41.106,True,100.0,840,False,False
COLAPSO_N4_HGS_r10,COLAPSO,N4,rampa,HGS,HGS,constructivo,10,20260910,2000,539370b,COLAPSADA,3655,11315,10725,554,479,1,74,99.792,3655,1943,46691.0,7852,97.476,130,0,1950.133,1950.366,1951.376,0,0,27.1,238.427,True,100.0,3655,False,False
