minuto,pedidos_en_fotografia,h
0,0,0
30,0,0
60,0,0
90,0,0
120,0,0
150,1,0
180,1,0
210,1,0
240,2,0
270,2,0
300,2,0
330,2,1
360,1,1
390,2,2
420,5,0
450,13,0
480,15,0
510,28,0
540,39,0
570,52,0
574,54,0
600,60,0
630,66,0
660,81,2
690,86,15
720,96,32
750,91,40
780,82,45
810,90,60
840,70,66
870,87,83
900,97,0
930,99,0
960,107,0
990,113,0
1020,120,1
1050,126,11
1080,119,15
1110,119,26
1140,116,36
1170,112,40
1200,111,50
1230,99,53
1260,97,60
1290,96,64
1317,82,73
1320,73,49
1350,73,48
1380,76,0
1410,66,0
1440,64,0
1470,63,0
1500,61,0
1530,59,0
1560,56,0
1590,51,0
1620,46,0
1650,43,0
1680,37,0
1710,31,0
1740,25,0
1770,17,0
1800,2,2
1830,3,3
1839,3,3
1860,4,0
1890,7,0
1920,11,0
1950,22,0
1980,30,0
2010,41,0
2040,60,0
2070,63,0
2100,67,1
2130,76,14
2160,78,21
2190,80,34
2220,77,41
2250,72,48
2277,61,55
2280,57,43
2310,68,53
2340,80,0
2370,84,0
2400,82,0
2430,92,0
2460,99,0
2490,97,0
2520,101,1
2550,97,6
2580,101,17
2610,90,24
2640,93,32
2670,83,38
2700,83,48
2730,76,50
2760,54,48
2790,56,50
2800,57,51
2809,57,51
2820,59,0
2850,51,0
2880,42,0
2881,42,0
2910,43,0
2940,41,0
2970,40,0
3000,37,0
3030,38,0
3060,32,0
3090,29,0
3120,26,0
3150,21,0
3180,21,0
3210,11,2
3240,3,3
3270,6,6
3300,8,0
3330,10,0
3360,14,0
3390,29,0
3420,35,0
3450,45,0
3480,52,0
3506,54,0
3510,55,0
3540,60,0
3570,68,6
3600,69,15
3630,73,28
3660,69,35
3690,69,44
3720,56,41
3750,66,51
3780,72,0
3810,73,0
3840,80,0
3870,87,0
3879,89,0
3900,92,0
3930,97,0
3960,102,5
3990,101,10
4020,106,21
4050,99,28
4080,102,41
4110,93,43
4140,86,50
4152,86,52
4170,85,55
4200,60,39
4230,60,39
4260,62,0
4261,62,0
4290,54,0
4320,51,0
4350,51,0
4380,51,0
4410,50,0
4440,46,0
4460,46,0
4470,46,0
4500,41,0
4516,38,0
4530,37,0
4560,35,0
4590,26,0
4620,22,0
4650,13,1
4680,1,1
4710,7,7
4739,11,11
4740,11,0
4770,13,0
4800,18,0
4830,40,0
4843,45,0
4860,53,0
4890,70,0
4920,84,0
4950,103,13
4980,108,30
5010,121,50
5040,125,67
5070,125,79
5092,123,86
5100,123,87
5130,123,96
5160,111,100
5184,118,106
5190,120,109
5220,135,0
5250,135,0
5280,138,2
5293,138,4
5310,142,9
5340,148,19
5370,140,23
5400,138,34
5430,139,40
5460,139,57
5490,137,68
5520,139,77
5550,133,82
5580,126,89
5610,122,95
5640,97,83
5653,98,84
5670,99,85
5700,100,0
5730,94,0
5760,91,0
5790,86,0
5820,82,0
5850,79,0
5880,73,0
5910,65,0
5917,65,0
5940,60,0
5970,53,0
6000,50,0
6030,37,0
6060,34,0
6090,23,3
6120,4,4
6150,10,8
6180,12,0
6210,12,0
6216,12,0
6240,13,0
6270,17,0
6292,20,0
6300,23,0
6330,27,0
6360,37,0
6390,39,0
6420,45,0
6450,54,0
6480,61,10
6510,61,15
6540,55,18
6570,54,28
6600,42,33
6612,42,33
6621,44,35
6630,47,37
6660,53,0
6690,56,0
6720,56,0
6750,65,0
6780,69,0
6810,78,0
6832,80,0
6840,79,0
6870,81,1
6900,81,5
6930,80,14
6960,80,22
6967,80,22
6990,73,28
7020,66,30
7050,60,32
7080,37,24
7110,38,25
7140,40,0
7170,36,0
